Dataset,F1_measure,Accuracy
HDFS,0.999984,0.997500
Hadoop,0.998927,0.950000
Spark,0.991876,0.920000
Zookeeper,0.999480,0.962500
BGL,0.999554,0.957000
HPC,0.993969,0.930500
Thunderbird,0.999323,0.950000
Windows,0.999990,0.994000
Linux,0.992437,0.690000
Android,0.994157,0.877000
HealthApp,0.918123,0.754500
Apache,1.000000,1.000000
Proxifier,0.784886,0.526500
OpenSSH,0.998237,0.718000
OpenStack,0.992655,0.721500
Mac,0.975427,0.783000
